"EventoUI","Categoria","SonidoDeclarado","AssetOriginal","Hash","CopiaPorEvento","CopiaPorCategoria","ArchivoUnico"
"ui.button.click","Botones","random/click_stereo","minecraft/sounds/random/click_stereo.ogg","f0ca66561f832bf2f60b393837297c2692367cd5","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\01_Por_Evento\ui.button.click\01_click_stereo.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\02_Por_Categoria\Botones\ui.button.click\01_click_stereo.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\03_Archivos_Unicos\Botones__ui.button.click__click_stereo.ogg"
"ui.cartography_table.take_result","Cartography","ui/cartography_table/drawmap1","minecraft/sounds/ui/cartography_table/drawmap1.ogg","0fefe0a800702935cef8ff888cb2d711f0220628","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\01_Por_Evento\ui.cartography_table.take_result\01_drawmap1.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\02_Por_Categoria\Cartography\ui.cartography_table.take_result\01_drawmap1.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\03_Archivos_Unicos\Cartography__ui.cartography_table.take_result__drawmap1.ogg"
"ui.cartography_table.take_result","Cartography","ui/cartography_table/drawmap2","minecraft/sounds/ui/cartography_table/drawmap2.ogg","c806bde5aa9dd27c81832f82c7a27a208f5b0a04","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\01_Por_Evento\ui.cartography_table.take_result\02_drawmap2.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\02_Por_Categoria\Cartography\ui.cartography_table.take_result\02_drawmap2.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\03_Archivos_Unicos\Cartography__ui.cartography_table.take_result__drawmap2.ogg"
"ui.cartography_table.take_result","Cartography","ui/cartography_table/drawmap3","minecraft/sounds/ui/cartography_table/drawmap3.ogg","5935a6c4874744a39f96527e5eca40ac94fb0b74","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\01_Por_Evento\ui.cartography_table.take_result\03_drawmap3.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\02_Por_Categoria\Cartography\ui.cartography_table.take_result\03_drawmap3.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\03_Archivos_Unicos\Cartography__ui.cartography_table.take_result__drawmap3.ogg"
"ui.hud.bubble_pop","HUD","ui/hud/hud_bubble","minecraft/sounds/ui/hud/hud_bubble.ogg","08706ea135117fcc5b3385e817c3ad27765f03d7","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\01_Por_Evento\ui.hud.bubble_pop\01_hud_bubble.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\02_Por_Categoria\HUD\ui.hud.bubble_pop\01_hud_bubble.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\03_Archivos_Unicos\HUD__ui.hud.bubble_pop__hud_bubble.ogg"
"ui.loom.select_pattern","Loom","ui/loom/select_pattern1","minecraft/sounds/ui/loom/select_pattern1.ogg","e0391aeb167a8be978b25b5f415a5d655c40153b","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\01_Por_Evento\ui.loom.select_pattern\01_select_pattern1.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\02_Por_Categoria\Loom\ui.loom.select_pattern\01_select_pattern1.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\03_Archivos_Unicos\Loom__ui.loom.select_pattern__select_pattern1.ogg"
"ui.loom.select_pattern","Loom","ui/loom/select_pattern2","minecraft/sounds/ui/loom/select_pattern2.ogg","a1a7b885db05e48a2f452de75d1cca4c8703f637","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\01_Por_Evento\ui.loom.select_pattern\02_select_pattern2.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\02_Por_Categoria\Loom\ui.loom.select_pattern\02_select_pattern2.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\03_Archivos_Unicos\Loom__ui.loom.select_pattern__select_pattern2.ogg"
"ui.loom.select_pattern","Loom","ui/loom/select_pattern3","minecraft/sounds/ui/loom/select_pattern3.ogg","dab140dbe86d882c6b370df754309447ab3f16a7","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\01_Por_Evento\ui.loom.select_pattern\03_select_pattern3.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\02_Por_Categoria\Loom\ui.loom.select_pattern\03_select_pattern3.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\03_Archivos_Unicos\Loom__ui.loom.select_pattern__select_pattern3.ogg"
"ui.loom.select_pattern","Loom","ui/loom/select_pattern4","minecraft/sounds/ui/loom/select_pattern4.ogg","69a546fd8202436096224a45b044b33e321c3bd5","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\01_Por_Evento\ui.loom.select_pattern\04_select_pattern4.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\02_Por_Categoria\Loom\ui.loom.select_pattern\04_select_pattern4.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\03_Archivos_Unicos\Loom__ui.loom.select_pattern__select_pattern4.ogg"
"ui.loom.select_pattern","Loom","ui/loom/select_pattern5","minecraft/sounds/ui/loom/select_pattern5.ogg","e218e23e5181d2f0539469d483cad553db5d1b60","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\01_Por_Evento\ui.loom.select_pattern\05_select_pattern5.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\02_Por_Categoria\Loom\ui.loom.select_pattern\05_select_pattern5.ogg","C:\Users\marco\Desktop\Minecraft_UI_Sounds_Organizado\03_Archivos_Unicos\Loom__ui.loom.select_pattern__select_pattern5.ogg"
